Date,Lieu,Ville,Type,Prix,Artiste,Image
13 juin 2023,CENTRE DES CONGRES D'ANGERS,ANGERS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,26.0,"ORCHESTRE NATIONAL DES PAYS DE LA LOIRE- ""LES CHOEURS A LHONNEUR""",https://static.ticketmaster.fr/static/images/vignettes/a_529635.gif
14 juin 2023,GRAND THEATRE DE CALAIS,CALAIS,CLASSIQUE ET OPERA - OPERA,20.0,LA CENERENTOLA,https://static.ticketmaster.fr/static/images/vignettes/a_534180.gif
16 au 18 juin 2023,Le Grand Rex,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.0,VLADIMIR COSMA,https://static.ticketmaster.fr/static/images/vignettes/a_541575.gif
16 juin 2023,Espaces V Roger Lefort,VILLEPINTE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,9.0,QUATUOR HANSON,https://static.ticketmaster.fr/static/images/vignettes/a_535882.gif
16 juin 2023,SEINE MUSICALE,BOULOGNE BILLANCOURT,CLASSIQUE ET OPERA - MUSIQUE ET CHANT SACRE,23.0,CONCERT DE GALA DE LA PROMOTION DEBUSSY,https://static.ticketmaster.fr/static/images/vignettes/a_533439.gif
16 juin 2023,Opera de Toulon,TOULON,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,7.0,WEST SIDE STORY,https://static.ticketmaster.fr/static/images/vignettes/a_533240.gif
17 juin au 15 juil. 2023,OPERA BASTILLE,PARIS,CLASSIQUE ET OPERA - OPERA,142.0,ROMEO ET JULIETTE,https://static.ticketmaster.fr/static/images/vignettes/a_526058.gif
18 juin 2023,PALAIS GARNIER / OPERA GARNIER,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,34.5,MIDI MUSICAL,https://static.ticketmaster.fr/static/images/vignettes/a_526074.gif
21 juin 2023,CASINO,TOULOUSE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,35.0,DOUCE FRANCE,https://static.ticketmaster.fr/static/images/vignettes/a_527499.gif
22 juin 2023,OPERA ROYAL,VERSAILLES,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,29.7,CAVALLI : EGISTO,https://static.ticketmaster.fr/static/images/vignettes/a_534343.gif
