Date,Lieu,Ville,Type,Prix,Artiste,Image
29 mars 2023,CAPITOLE EN CHAMPAGNE,CHALONS EN CHAMPAGNE,DANSE - DANSE TRADITIONNELLE,45.0,IRISH CELTIC,https://static.ticketmaster.fr/static/images/vignettes/n_irish-celtic-le-chemin-des-legendes.gif
30 mars 2023,THEATRE DE L'ESPLANADE,DRAGUIGNAN,DANSE - AUTRES DANSES,28.2,NOUVELLE CREATION BATSHEVA,https://static.ticketmaster.fr/static/images/vignettes/a_531844.gif
30 mars 2023,CASINO BARRIERE BORDEAUX,BORDEAUX,DANSE - DANSE TRADITIONNELLE,34.0,BALLET NATIONAL DE POLOGNE,https://static.ticketmaster.fr/static/images/vignettes/a_528021.gif
30 mars 2023,ZENITH DE NANCY,MAXEVILLE,DANSE - DANSE TRADITIONNELLE,45.0,IRISH CELTIC,https://static.ticketmaster.fr/static/images/vignettes/n_irish-celtic-le-chemin-des-legendes.gif
30 mars 2023,ESPACE MAYENNE,LAVAL,DANSE - DANSE CLASSIQUE,42.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_522369.gif
31 mars 2023,ESPACE BREMONTIER,ARES,DANSE - DANSE HIP-HOP,19.0,CIE HORS SERIE,https://static.ticketmaster.fr/static/images/vignettes/a_537359.gif
31 mars 2023,THEATRE DE L'OLIVIER-SCENES ET CINES,ISTRES,DANSE - DANSE TRADITIONNELLE,11.0,KOEN AUGUSTIJNEN/ROSALBA TORRES GUERRERO,https://static.ticketmaster.fr/static/images/vignettes/a_532996.gif
31 mars 2023,L'ENTREPOT,LE HAILLAN,DANSE - DANSE CONTEMPORAINE,20.0,MALA DIANOR,https://static.ticketmaster.fr/static/images/vignettes/a_529855.gif
31 mars au 1 avr. 2023,THEATRE DE SAINT-QUENTIN-EN-YVELINES,ST QUENTIN YVELINES CEDEX,DANSE - DANSE CONTEMPORAINE,14.0,PHOENIX - CHOREGRAPHIE JOSETTE BAIZ ET LES DANSEURS,https://static.ticketmaster.fr/static/images/vignettes/a_525826.gif
31 mars 2023,LE CEPAC SILO,MARSEILLE,DANSE - DANSE TRADITIONNELLE,42.0,CELTIC LEGENDS,https://static.ticketmaster.fr/static/images/vignettes/a_487015.gif
1 avr. 2023,SALLE DESIRE VALETTE,ST VALLIER,DANSE - DANSE TRADITIONNELLE,32.2,VALON CELTIC DANCES,https://static.ticketmaster.fr/static/images/vignettes/n_avalon-celtic-dances.gif
1 avr. 2023,THEATRE DE L'ESPLANADE,DRAGUIGNAN,DANSE - AUTRES DANSES,28.2,LAMENTA,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
1 avr. 2023,"AUDITORIUM DU ""VINGT SEPT""",ROUILLAC,DANSE - FLAMENCO,10.0,FLAMENCO VIVO,https://static.ticketmaster.fr/static/images/vignettes/a_532403.gif
1 avr. 2023,LA MALS,SOCHAUX,DANSE - AUTRES DANSES,13.0,CIE CIRCA,https://static.ticketmaster.fr/static/images/vignettes/a_531571.gif
1 avr. 2023,PALAIS DES FESTIVALS-GRAND AUDITORIUM,CANNES,DANSE - DANSE CLASSIQUE,16.0,CIA ANTONIO NAJARRO,https://static.ticketmaster.fr/static/images/vignettes/a_527382.gif
2 avr. 2023,SALLE DE L'ETOILE,CHATEAURENARD,DANSE - DANSE CLASSIQUE,19.0,BALLET NATIONAL DE POLOGNE,https://static.ticketmaster.fr/static/images/vignettes/a_535342.gif
