Date,Lieu,Ville,Type,Prix,Artiste,Image
28 mars 2023,ESPACE CARPEAUX Salle Saint Saens,COURBEVOIE,THEATRE - THEATRE CONTEMPORAIN,20.0,NO LIMIT (THEATRE)- THOMAS GENDRONNEAU- ROBIN GOUPIL,https://static.ticketmaster.fr/static/images/vignettes/a_532616.gif
28 mars 2023,THEATRE MAC NAB,VIERZON,THEATRE - COMEDIE,17.0,POURQUOI LES POULES PREFERENT ETRE ELEVEES EN BATTERIE,https://static.ticketmaster.fr/static/images/vignettes/a_529248.gif
29 mars au 1 avr. 2023,LA LUNA NEGRA,BAYONNE,THEATRE - COMEDIE,20.0,PAISIBLE RETRAITE,https://static.ticketmaster.fr/static/images/vignettes/a_543326.gif
29 mars 2023,LE PETIT KURSAAL,BESANCON,THEATRE - COMEDIE,31.2,TALONS AIGUILLES ET POIL AUX PATTES,https://static.ticketmaster.fr/static/images/vignettes/n_talons-aiguilles-et-poil-aux-pattes.gif
29 mars au 5 avr. 2023,THEATRE DES SALINIERES,BORDEAUX,THEATRE - COMEDIE,16.0,DEUX MENSONGES ET UNE VERITE,https://static.ticketmaster.fr/static/images/vignettes/a_528535.gif
30 mars 2023,LA CANOPEE,RUFFEC,THEATRE - THEATRE CONTEMPORAIN,9.0,CIE HECHO EN CASA,https://static.ticketmaster.fr/static/images/vignettes/a_536087.gif
30 mars 2023,AUDITORIUM DE LA LOUVIERE,EPINAL,THEATRE - COMEDIE,30.2,TALONS AIGUILLES ET POIL AUX PATTES,https://static.ticketmaster.fr/static/images/vignettes/n_talons-aiguilles-et-poil-aux-pattes.gif
30 mars au 9 avr. 2023,LA BOITE A RIRE,LES SABLES D OLONNE,THEATRE - COMEDIE,19.0,SILENCE ELLES JOUENT,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
30 mars 2023,GRAND THEATRE DE CALAIS,CALAIS,THEATRE - THEATRE CLASSIQUE,14.0,"""LAMOUR DE PHEDRE""",https://static.ticketmaster.fr/static/images/vignettes/a_534170.gif
30 mars 2023,LE CUBE,VILLENAVE D ORNON,THEATRE - THEATRE CONTEMPORAIN,12.0,SOON,https://static.ticketmaster.fr/static/images/vignettes/a_532435.gif
30 mars 2023,LE ZEPHYR,HEM,THEATRE - COMEDIE,24.0,LES HOMMES VIENNENT DE MARS ET LES FEMMES DE VENUS,https://static.ticketmaster.fr/static/images/vignettes/a_531559.gif
30 mars 2023,SALLE L'EMBARCADERE,ST SEBASTIEN SUR LOIRE,THEATRE - AUTRES THEATRE,22.0,TRUE COPY,https://static.ticketmaster.fr/static/images/vignettes/a_530247.gif
30 mars 2023,LE PARVIS,IBOS,THEATRE - AUTRES THEATRE,12.0,HONDAMENDIA,https://static.ticketmaster.fr/static/images/vignettes/a_527993.gif
30 mars au 2 avr. 2023,THEATRE DE JEANNE,NANTES,THEATRE - COMEDIE,22.0,ON NE COUCHE PAS AUX ENTERREMENTS,https://static.ticketmaster.fr/static/images/vignettes/a_527372.gif
31 mars 2023,SCENE NATIONALE DE BOURG EN BRESSE,BOURG EN BRESSE,THEATRE - THEATRE CONTEMPORAIN,27.2,MADAME PYLINSKA ET LE SECRET DE CHOPIN,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
31 mars 2023,THEATRE MUNICIPAL,SEREMANGE ERZANGE,THEATRE - AUTRES THEATRE,27.2,LE MARIAGE NUIT GRAVEMENT A LA SANTE,https://static.ticketmaster.fr/static/images/vignettes/a_539128.gif
31 mars 2023,THEATRE A L'OUEST,CAEN,THEATRE - COMEDIE,24.0,THOMAS CROISIERE,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
31 mars au 2 avr. 2023,SALLE ALIZE,GUIPAVAS,THEATRE - AUTRES THEATRE,10.0,"""ThéâtrAlizé""",https://static.ticketmaster.fr/static/images/vignettes/a_538430.gif
31 mars 2023,ESPACE CULTUREL CASADESUS,LOUVROIL,THEATRE - COMEDIE,22.0,LE SWITCH,https://static.ticketmaster.fr/static/images/vignettes/n_le-switch.gif
31 mars au 27 mai 2023,LA NOUVELLE COMEDIE,NICE,THEATRE - COMEDIE,18.0,MARIES AU PREMIER RINGARD,https://static.ticketmaster.fr/static/images/vignettes/n_maries-au-premier-ringard.gif
31 mars 2023,C.C. YVES FURET,LA SOUTERRAINE,THEATRE - AUTRES THEATRE,27.2,LA LECON- JULIEN DEROUAULT,https://static.ticketmaster.fr/static/images/vignettes/a_537110.gif
31 mars 2023,CENTRE CULTUREL JULIOBONA,LILLEBONNE,THEATRE - COMEDIE,7.0,"""UNE HISTOIRE DAMOUR""",https://static.ticketmaster.fr/static/images/vignettes/a_536215.gif
31 mars 2023,THEATRE MUNICIPAL DE NEVERS,NEVERS,THEATRE - COMEDIE,30.2,"""LARNAQUEUSE""",https://static.ticketmaster.fr/static/images/vignettes/n_l-arnaqueuse.gif
31 mars 2023,C.C.ARTHEMUSE,BRIEC,THEATRE - COMEDIE,12.0,RENDEZ VOUS A CAPRI,https://static.ticketmaster.fr/static/images/vignettes/n_rendez-vous-a-capri.gif
