Date,Lieu,Ville,Type,Prix,Artiste,Image
9 avr. 2023,REIMS ARENA,REIMS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
22 oct. au 31 dec. 2022,LE 13EME ART,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,19.0,PEPPA PIG,https://static.ticketmaster.fr/static/images/vignettes/a_527291.gif
1 avr. 2023,PALAIS DES SPORTS MARCEL CERDAN,LEVALLOIS PERRET,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
20 au 31 dec. 2022,LES FOLIES BERGERE,PARIS,SPECTACLE ET COMEDIE MUSICALE - MAGIE,15.0,VIKTOR VINCENT,https://static.ticketmaster.fr/static/images/vignettes/a_517589.gif
7 janv. 2023,THEATRE SEBASTOPOL,LILLE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,30.0,CHANTAL GOYA,https://static.ticketmaster.fr/static/images/vignettes/n_chantal-goya.gif
19 au 29 janv. 2023,Le Grand Rex,PARIS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,26.6,MESSMER,https://static.ticketmaster.fr/static/images/vignettes/a_519613.gif
26 janv. au 12 fevr. 2023,CASINO DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,25.0,FLASHDANCE,https://static.ticketmaster.fr/static/images/vignettes/a_538982.gif
30 mars 2023,SUD DE FRANCE ARENA,PEROLS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/a_541199.gif
22 au 23 avr. 2023,PALAIS DES SPORTS,MARSEILLE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/a_500135.gif
1 au 5 fevr. 2023,HALLE TONY GARNIER,LYON,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
14 fevr. au 6 mai 2023,PALAIS DES CONGRES DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,69.0,SHEN YUN,https://static.ticketmaster.fr/static/images/vignettes/n_shen-yun.gif
9 au 12 mars 2023,PARC EXPO DE TOURS,TOURS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,35.0,"""LES BODINS""",https://static.ticketmaster.fr/static/images/vignettes/n_les-bodin-s-grandeur-nature.gif
19 mars 2023,ESPACE CULTUREL LE CHAMP DE FOIRE,PLABENNEC,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,18.0,LES QUATRES SAISONS ET LE RECHAUFFEMENT CLIMATIQUE,https://static.ticketmaster.fr/static/images/vignettes/a_539698.gif
16 avr. 2023,SCENEO,LONGUENESSE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,30.0,CHANTAL GOYA,https://static.ticketmaster.fr/static/images/vignettes/n_chantal-goya.gif
23 avr. 2023,ARENA FUTUROSCOPE,CHASSENEUIL DU POITOU,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
16 dec. 2023,ZENITH ARENA LILLE,LILLE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,34.0,DISNEY 100 ANS,https://static.ticketmaster.fr/static/images/vignettes/n_disney-100-ans.gif
4 mars 2022 au 26 mars 2023,PARC EXPO DE TOURS,TOURS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/n_holiday-on-ice-supernova.gif
3 au 5 mars 2023,PATINOIRE MERIADECK,BORDEAUX,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/a_500133.gif
21 avr. 2023,CENTRE OMNISPORTS JACQUES CLOUCHE,AGEN BOE,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
21 dec. 2020 au 1 janv. 2023,La Cigale,PARIS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,39.0,STOMP,https://static.ticketmaster.fr/static/images/vignettes/a_472442.gif
24 au 26 fevr. 2023,BREST ARENA,BREST,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/n_holiday-on-ice-supernova.gif
13 avr. 2023,ZENITH EUROPE STRASBOURG,ECKBOLSHEIM,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
19 nov. 2022 au 5 mars 2023,THEATRE MOGADOR,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,MON PREMIER LAC DES CYGNES,https://static.ticketmaster.fr/static/images/vignettes/a_528173.gif
3 au 5 fevr. 2023,ZENITH LIMOGES METROPOLE,LIMOGES,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,35.0,"""LES BODINS""",https://static.ticketmaster.fr/static/images/vignettes/n_les-bodin-s-grandeur-nature.gif
11 au 12 mars 2023,HALLE TONY GARNIER,LYON,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/n_holiday-on-ice-supernova.gif
15 nov. au 3 dec. 2023,PALAIS DES CONGRES DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,38.0,NOTRE DAME DE PARIS,https://static.ticketmaster.fr/static/images/vignettes/a_533042.gif
14 oct. 2022 au 15 janv. 2023,ALHAMBRA,PARIS,SPECTACLE ET COMEDIE MUSICALE - MAGIE,15.0,ZACK ET STAN- LES SALES GOSSES DE LA MAGIE,https://static.ticketmaster.fr/static/images/vignettes/a_529791.gif
14 avr. 2023,LES ARENES DE METZ,METZ,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
