Date,Lieu,Ville,Type,Prix,Artiste,Image
2 fevr. 2023,ESPACE BEAUMARCHAIS,MAROMME,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,30.2,ELISABETH BUFFET,https://static.ticketmaster.fr/static/images/vignettes/n_elisabeth-buffet.gif
2 fevr. 2023,THEATRE FEMINA,BORDEAUX,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,38.0,KARIM DUVAL,https://static.ticketmaster.fr/static/images/vignettes/n_karim-duval-y.gif
2 fevr. 2023,THEATRE MUNICIPAL,BETHUNE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,FABRICE EBOUE,https://static.ticketmaster.fr/static/images/vignettes/n_fabrice-eboue.gif
2 fevr. 2023,LE CEDRE,CHENOVE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,LAURA FELPIN,https://static.ticketmaster.fr/static/images/vignettes/n_laura-felpin.gif
2 fevr. 2023,LE PAVILLON,QUIMPER,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,ROLAND MAGDANE,https://static.ticketmaster.fr/static/images/vignettes/a_490938.gif
2 fevr. 2023,ZENITH D'AUVERGNE,COURNON D AUVERGNE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,49.0,VERONIC DICAIRE,https://static.ticketmaster.fr/static/images/vignettes/n_veronic-dicaire.gif
3 fevr. 2023,ZENITH SUD MONTPELLIER,MONTPELLIER,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,38.0,YASSAR,https://static.ticketmaster.fr/static/images/vignettes/a_542061.gif
3 fevr. 2023,CINEMA LE MELIES,ST ETIENNE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,17.0,THOMAS CROISIERE- RCOMIK FESTIVAL,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
3 fevr. 2023,LA SCENE DE STRASBOURG,STRASBOURG,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,34.0,JASON BROKERSS,https://static.ticketmaster.fr/static/images/vignettes/n_jason-brokerss.gif
3 fevr. 2023,APOLLO THEATRE,PARIS,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,15.3,THE COMEDY STORE,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
