Date,Lieu,Ville,Type,Prix,Artiste,Image
31 dec. 2022,PALAIS DE L'EPI D'OR,VILLEJUIF,SOIREE - REVEILLON,25.0,REVEILLON 2023,https://static.ticketmaster.fr/static/images/vignettes/a_540595.gif
31 dec. 2022,New Morning,PARIS,SOIREE - REVEILLON,55.0,LE GRAND REVEILLON DU NOUVEL AN,https://static.ticketmaster.fr/static/images/vignettes/a_539310.gif
6 fevr. 2023,LES FOLIES BERGERE,PARIS,SOIREE - SOIREE MUSIQUE,20.0,CORPS A COEURS- LOUANE- BERENGERE KRIEF- JOYCE JONATHAN- LORD ESPERANZA- LAURIE DARMON- MARIE-FLORE,https://static.ticketmaster.fr/static/images/vignettes/a_536141.gif
25 mars 2023,LE BASCALA,BRUGUIERES,SOIREE - SOIREE COSTUMEE,12.0,SOIREE CARNAVAL BRESIL,https://static.ticketmaster.fr/static/images/vignettes/a_531029.gif
