Date,Lieu,Ville,Type,Prix,Artiste,Image
19 fevr. 2023,SAN SIRO STADIUM,MILANO,SPORT - FOOTBALL,55.00,INTER MILAN,https://static.ticketmaster.fr/static/images/vignettes/s_23706.gif
19 fevr. 2023,WANDA METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,95.00,TLETICO MADRID,https://static.ticketmaster.fr/static/images/vignettes/s_21697.gif
19 fevr. 2023,SPOTIFY CAMP NOU,BARCELONA,SPORT - FOOTBALL,80.00,FC BARCELONE,https://static.ticketmaster.fr/static/images/vignettes/s_15950.gif
20 fevr. 2023,PALAIS DES SPORTS,MARSEILLE,SPORT - TENNIS,18.00,OPEN 13,https://static.ticketmaster.fr/static/images/vignettes/a_539888.gif
21 fevr. 2023,PALAIS DES SPORTS,MARSEILLE,SPORT - TENNIS,18.00,OPEN 13,https://static.ticketmaster.fr/static/images/vignettes/a_539890.gif
21 fevr. 2023,ANFIELD,LIVERPOOL,SPORT - FOOTBALL,1.090.00,LIVERPOOL- REAL MADRID CF,https://static.ticketmaster.fr/static/images/vignettes/s_24097.gif
21 fevr. 2023,AREN'ICE,CERGY,SPORT - HOCKEY SUR GLACE,12.00,JOKERS DE CERGY PONTOISE- RAPACES DE GAP HOCKEY CLUB,https://static.ticketmaster.fr/static/images/vignettes/s_21531.gif
22 fevr. 2023,SAN SIRO STADIUM,MILANO,SPORT - FOOTBALL,105.00,INTER MILAN,https://static.ticketmaster.fr/static/images/vignettes/s_23706.gif
22 fevr. 2023,PALAIS DES SPORTS,MARSEILLE,SPORT - TENNIS,30.00,OPEN 13,https://static.ticketmaster.fr/static/images/vignettes/a_539891.gif
23 fevr. 2023,STADIO OLIMPICO,ROMA,SPORT - FOOTBALL,65.00,S ROMA,https://static.ticketmaster.fr/static/images/vignettes/s_23696.gif
23 fevr. 2023,OLD TRAFFORD STADIUM,LONDON,SPORT - FOOTBALL,675.00,MANCHESTER UNITED- FC BARCELONE,https://static.ticketmaster.fr/static/images/vignettes/s_24086.gif
23 fevr. 2023,PALAIS DES SPORTS,MARSEILLE,SPORT - TENNIS,30.00,OPEN 13,https://static.ticketmaster.fr/static/images/vignettes/a_539892.gif
24 fevr. 2023,PALAIS DES SPORTS,MARSEILLE,SPORT - TENNIS,30.00,OPEN 13,https://static.ticketmaster.fr/static/images/vignettes/a_539893.gif
24 fevr. 2023,COLISEUM,AMIENS,SPORT - HOCKEY SUR GLACE,9.80,"""GOTHIQUES DAMIENS HOCKEY""- MULHOUSE HOCKEY",https://static.ticketmaster.fr/static/images/vignettes/s_23582.gif
25 fevr. 2023,SELHURST PARK,LONDON,SPORT - FOOTBALL,340.00,CRYSTAL PALACE- LIVERPOOL,https://static.ticketmaster.fr/static/images/vignettes/s_24314.gif
25 fevr. 2023,CRAVEN COTTAGE,LONDON,SPORT - FOOTBALL,60.00,FULHAM,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
25 fevr. 2023,PALAIS DES SPORTS,MARSEILLE,SPORT - TENNIS,42.00,OPEN 13,https://static.ticketmaster.fr/static/images/vignettes/a_539895.gif
25 fevr. 2023,TOTTENHAM HOTSPUR STADIUM,LONDON,SPORT - FOOTBALL,380.00,TOTTENHAM HOTSPUR,https://static.ticketmaster.fr/static/images/vignettes/s_23758.gif
25 fevr. 2023,OLD TRAFFORD STADIUM,LONDON,SPORT - FOOTBALL,340.00,MANCHESTER UNITED,https://static.ticketmaster.fr/static/images/vignettes/s_24086.gif
26 fevr. 2023,PALAIS DES SPORTS,MARSEILLE,SPORT - TENNIS,42.00,OPEN 13,https://static.ticketmaster.fr/static/images/vignettes/a_539897.gif
26 fevr. 2023,STADE DE FRANCE,ST DENIS,SPORT - RUGBY,28.00,EQUIPE DE FRANCE DE RUGBY,https://static.ticketmaster.fr/static/images/vignettes/a_539312.gif
26 fevr. 2023,COLISEUM,AMIENS,SPORT - HOCKEY SUR GLACE,9.80,"""GOTHIQUES DAMIENS HOCKEY""- ""DUCS DANGERS""",https://static.ticketmaster.fr/static/images/vignettes/s_23582.gif
26 fevr. au 5 nov. 2023,CIRCUIT LA FERTE GAUCHER,LA FERTE GAUCHER,SPORT - STAGE SPORTIF,125.00,FORMULAKIDS,https://static.ticketmaster.fr/static/images/vignettes/a_536511.gif
26 au 28 fevr. 2023,ALLIANZ STADIUM,TORINO,SPORT - FOOTBALL,370.00,JUVENTUS,https://static.ticketmaster.fr/static/images/vignettes/s_23710.gif
26 fevr. 2023,SAN SIRO STADIUM,MILANO,SPORT - FOOTBALL,55.00,MILAN AC,https://static.ticketmaster.fr/static/images/vignettes/a_533120.gif
26 fevr. 2023,STADE AUGUSTE DELAUNE,REIMS,SPORT - FOOTBALL,8.00,STADE DE REIMS- TOULOUSE FC,https://static.ticketmaster.fr/static/images/vignettes/s_18836.gif
26 fevr. 2023,STADE SANTIAGO BERNABEU,MADRID,SPORT - FOOTBALL,520.00,REAL MADRID CF,https://static.ticketmaster.fr/static/images/vignettes/s_15989.gif
1 mars 2023 au 31 mai 2024,AERODROME DE BOULOC-EN-QUERCY,BOULOC-EN-QUERCY,SPORT - AUTRES SPORTS,285.00,SAUT EN PARACHUTE,https://static.ticketmaster.fr/static/images/vignettes/a_540234.gif
1 mars 2023 au 31 mai 2024,AERODROME DE GAP-TALLARD,TALLARD,SPORT - AUTRES SPORTS,285.00,SAUT EN PARACHUTE,https://static.ticketmaster.fr/static/images/vignettes/a_539227.gif
3 mars 2023,AREN'ICE,CERGY,SPORT - HOCKEY SUR GLACE,12.00,JOKERS DE CERGY PONTOISE- BOXERS BORDEAUX,https://static.ticketmaster.fr/static/images/vignettes/s_21531.gif
3 mars 2023,COLISEUM,AMIENS,SPORT - HOCKEY SUR GLACE,9.80,"""GOTHIQUES DAMIENS HOCKEY""- DIABLES ROUGES DE BRIANCON",https://static.ticketmaster.fr/static/images/vignettes/s_23582.gif
4 mars 2023,ZENITH DE CAEN,CAEN,SPORT - BOXE,25.00,LA NUIT DES COMBATTANTS,https://static.ticketmaster.fr/static/images/vignettes/a_543439.gif
4 mars 2023,GAYANT EXPO,DOUAI,SPORT - MOTO,30.20,FREESTYLE MOTO- MOTO,https://static.ticketmaster.fr/static/images/vignettes/a_538330.gif
4 mars 2023,STAMFORD BRIDGE STADIUM,LONDRES,SPORT - FOOTBALL,295.00,FC CHELSEA,https://static.ticketmaster.fr/static/images/vignettes/s_21523.gif
4 mars 2023,ANFIELD,LIVERPOOL,SPORT - FOOTBALL,1.595.00,LIVERPOOL,https://static.ticketmaster.fr/static/images/vignettes/s_24097.gif
4 mars 2023,ETIHAD STADIUM,MANCHESTER,SPORT - FOOTBALL,380.00,MANCHESTER CITY,https://static.ticketmaster.fr/static/images/vignettes/s_23729.gif
4 mars 2023,EMIRATES STADIUM,LONDON,SPORT - FOOTBALL,675.00,RSENAL,https://static.ticketmaster.fr/static/images/vignettes/s_23728.gif
5 mars au 29 oct. 2023,CIRCUIT DE FOLEMBRAY,FOLEMBRAY,SPORT - STAGE SPORTIF,125.00,FORMULAKIDS,https://static.ticketmaster.fr/static/images/vignettes/a_536504.gif
5 mars 2023,SAN SIRO STADIUM,MILANO,SPORT - FOOTBALL,55.00,INTER MILAN,https://static.ticketmaster.fr/static/images/vignettes/s_23706.gif
5 mars 2023,STADIO OLIMPICO,ROMA,SPORT - FOOTBALL,150.00,S ROMA,https://static.ticketmaster.fr/static/images/vignettes/s_23696.gif
5 mars 2023,STADE AUGUSTE DELAUNE,REIMS,SPORT - FOOTBALL,8.00,STADE DE REIMS- C AJACCIO,https://static.ticketmaster.fr/static/images/vignettes/s_18836.gif
5 mars 2023,WANDA METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,125.00,TLETICO MADRID,https://static.ticketmaster.fr/static/images/vignettes/s_21697.gif
5 mars 2023,SPOTIFY CAMP NOU,BARCELONA,SPORT - FOOTBALL,90.00,FC BARCELONE,https://static.ticketmaster.fr/static/images/vignettes/s_15950.gif
7 mars 2023,STAMFORD BRIDGE STADIUM,LONDRES,SPORT - FOOTBALL,465.00,FC CHELSEA- BORUSSIA DORTMUND,https://static.ticketmaster.fr/static/images/vignettes/s_21523.gif
11 mars 2023,LA ROTONDE,CAPAVENIR VOSGES,SPORT - CATCH,12.00,SPECTACLE DE CATCH,https://static.ticketmaster.fr/static/images/vignettes/a_542831.gif
11 mars 2023,CRAVEN COTTAGE,LONDON,SPORT - FOOTBALL,380.00,FULHAM,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
