Date,Lieu,Ville,Type,Prix,Artiste,Image
23 mars 2023,LA COOPERATIVE DE MAI,CLERMONT FERRAND,CONCERT - POP ROCK FOLK,17.0,THE PSYCHOTIC MONKS- STUFFED FOXES,https://static.ticketmaster.fr/static/images/vignettes/a_538842.gif
23 mars 2023,EGLISE SAINTS NAZAIRE ET CELSE,GAMBSHEIM,CONCERT - VARIETE ET CHANSON FRANCAISE,45.0,HUGUES AUFRAY,https://static.ticketmaster.fr/static/images/vignettes/n_hugues-aufray.gif
23 mars 2023,LA CHAPELLE-LES TRINITAIRES,METZ,CONCERT - HARD METAL,14.0,BRUTUS,https://static.ticketmaster.fr/static/images/vignettes/a_537613.gif
23 mars 2023,LA MAILLETTE / LOCMINE,LOCMINE,CONCERT - VARIETE ET CHANSON FRANCAISE,53.0,ISABELLE BOULAY,https://static.ticketmaster.fr/static/images/vignettes/n_isabelle-boulay.gif
23 mars 2023,LA CIGALIERE,SERIGNAN,CONCERT - JAZZ,17.0,STACEY KENT,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
23 mars 2023,Paul B,MASSY,CONCERT - VARIETE ET CHANSON FRANCAISE,28.6,DANA CIOCARLIE- PHILIPPE KATERINE,https://static.ticketmaster.fr/static/images/vignettes/a_532820.gif
23 mars 2023,LE FIL,ST ETIENNE,CONCERT - BLUES COUNTRY,29.2,NA POPOVIC,https://static.ticketmaster.fr/static/images/vignettes/a_532121.gif
23 mars 2023,PALAIS DES CONGRES-LE MANS,LE MANS,CONCERT - VARIETE ET CHANSON FRANCAISE,44.5,GAUVAIN SERS,https://static.ticketmaster.fr/static/images/vignettes/n_gauvain-sers.gif
23 mars 2023,RADIANT,CALUIRE ET CUIRE,CONCERT - VARIETE ET CHANSON FRANCAISE,53.0,SALVATORE ADAMO,https://static.ticketmaster.fr/static/images/vignettes/a_527762.gif
23 mars 2023,LA CARTONNERIE,REIMS,CONCERT - POP ROCK FOLK,31.2,MATMATAH,https://static.ticketmaster.fr/static/images/vignettes/n_matmatah.gif
23 mars 2023,LE K,REIMS TINQUEUX,CONCERT - VARIETE ET CHANSON FRANCAISE,32.0,MARIANNE JAMES,https://static.ticketmaster.fr/static/images/vignettes/n_marianne-james.gif
23 mars 2023,L'OLYMPIA,PARIS,CONCERT - MUSIQUE ELECTRONIQUE,33.0,MEZERG,https://static.ticketmaster.fr/static/images/vignettes/a_515947.gif
24 mars 2023,ECHO SYSTEM,SCEY-SUR-SAÔNE,CONCERT - MUSIQUE DU MONDE,20.0,LA CARAVANE PASSE- FLYING ORKESTAR,https://static.ticketmaster.fr/static/images/vignettes/a_543830.gif
24 mars 2023,LE NORMANDY,ST LO,CONCERT - BLUES COUNTRY,22.0,THE INSPECTOR CLUZO,https://static.ticketmaster.fr/static/images/vignettes/a_543593.gif
24 mars 2023,LA LUCIOLE,ALENCON,CONCERT - POP ROCK FOLK,18.0,BLACK SEA DAHU,https://static.ticketmaster.fr/static/images/vignettes/s_5653.gif
24 mars 2023,109,MONTLUCON,CONCERT - VARIETE ET CHANSON FRANCAISE,16.0,MES SOULIERS SONT ROUGES,https://static.ticketmaster.fr/static/images/vignettes/n_mes-souliers-sont-rouges.gif
24 mars 2023,CROSSROAD,ANGOULINS,CONCERT - POP ROCK FOLK,20.0,CELKILT,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
24 mars 2023,SEW,MORLAIX,CONCERT - CONCERT JEUNE PUBLIC,14.0,LADYLIKE LILY,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
24 mars 2023,BORDS 2 SCENES – L’ORANGE BLEUE,VITRY LE FRANCOIS,CONCERT - POP ROCK FOLK,7.0,BURNING HEADS,https://static.ticketmaster.fr/static/images/vignettes/a_542487.gif
24 mars 2023,LA ROTONDE,CHATEAURENARD,CONCERT - RAP HIP-HOP SLAM,22.0,CHILLA,https://static.ticketmaster.fr/static/images/vignettes/a_542315.gif
24 mars 2023,LE MOULIN A JAZZ,VITROLLES,CONCERT - JAZZ,14.0,FABRICE MARTINEZ,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
24 mars 2023,BIG BAND CAFE,HEROUVILLE ST CLAIR,CONCERT - REGGAE SKA DUB,28.2,PATRICE,https://static.ticketmaster.fr/static/images/vignettes/n_patrice.gif
24 mars 2023,SALLE DE MONTISSION,ST JEAN LE BLANC,CONCERT - POP ROCK FOLK,24.0,STEPHANE,https://static.ticketmaster.fr/static/images/vignettes/a_541881.gif
24 mars 2023,LES ABATTOIRS,BOURGOIN JALLIEU,CONCERT - VARIETE ET CHANSON FRANCAISE,27.2,MPL- GWIZDEK,https://static.ticketmaster.fr/static/images/vignettes/s_8245.gif
24 mars 2023,LA PUCE A L'OREILLE,RIOM,CONCERT - VARIETE ET CHANSON FRANCAISE,24.0,MARCEL ET SON ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_541769.gif
